dataset,model,num_experts,active_experts,best_valid_score,elapsed_sec,best_valid_result.auc,best_valid_result.logloss,test_result.auc,test_result.logloss
Beauty,DeepFM,16,1,0.3575,112.8399,0.6543,0.3575,0.6559,0.373
Beauty,DeepFM,16,2,0.3482,89.8559,0.6862,0.3482,0.6905,0.3626
Beauty,DeepFM,16,4,0.3477,101.4623,0.6871,0.3477,0.6914,0.362
Beauty,DeepFM,16,8,0.3475,110.8125,0.688,0.3475,0.6938,0.3615
Beauty,DeepFM,16,16,0.348,111.4551,0.6866,0.348,0.6915,0.3621
Beauty,DCNv2,16,1,0.3501,111.5044,0.6805,0.3501,0.6844,0.3649
Beauty,DCNv2,16,2,0.3482,89.2447,0.6857,0.3482,0.6899,0.3626
Beauty,DCNv2,16,4,0.3475,98.0433,0.688,0.3475,0.6933,0.3617
Beauty,DCNv2,16,8,0.3473,121.8957,0.6885,0.3473,0.6946,0.3612
Beauty,DCNv2,16,16,0.3481,134.8616,0.6863,0.3481,0.691,0.3624
Beauty,AutoInt,16,1,0.3495,153.5096,0.683,0.3495,0.6868,0.364
Beauty,AutoInt,16,2,0.3475,165.2867,0.6888,0.3475,0.6931,0.3618
Beauty,AutoInt,16,4,0.3473,295.2159,0.6892,0.3473,0.6934,0.3617
Beauty,AutoInt,16,8,0.3472,517.1186,0.6891,0.3472,0.6946,0.3612
Beauty,AutoInt,16,16,0.3476,926.1532,0.6879,0.3476,0.6925,0.3618
MovieLens-1M,DeepFM,16,1,0.3315,205.1225,0.8377,0.3315,0.832,0.3347
MovieLens-1M,DeepFM,16,2,0.3248,154.536,0.8461,0.3248,0.8413,0.3273
MovieLens-1M,DeepFM,16,4,0.3215,240.1199,0.8512,0.3215,0.8463,0.3238
MovieLens-1M,DeepFM,16,8,0.3193,297.3526,0.8546,0.3193,0.8492,0.3224
MovieLens-1M,DeepFM,16,16,0.3193,254.9099,0.8539,0.3193,0.8482,0.3227
MovieLens-1M,DCNv2,16,1,0.321,103.3304,0.8498,0.321,0.845,0.3236
MovieLens-1M,DCNv2,16,2,0.3206,150.7977,0.8516,0.3206,0.8467,0.3235
MovieLens-1M,DCNv2,16,4,0.3204,120.814,0.8517,0.3204,0.8469,0.323
MovieLens-1M,DCNv2,16,8,0.3209,130.8369,0.8513,0.3209,0.8467,0.3233
MovieLens-1M,DCNv2,16,16,0.3212,146.6733,0.8508,0.3212,0.8462,0.3235
MovieLens-1M,AutoInt,16,1,0.326,445.7093,0.8458,0.326,0.8418,0.3279
MovieLens-1M,AutoInt,16,2,0.3219,342.1079,0.8498,0.3219,0.844,0.325
MovieLens-1M,AutoInt,16,4,0.3199,553.4179,0.8524,0.3199,0.8474,0.3227
MovieLens-1M,AutoInt,16,8,0.3192,997.7969,0.8536,0.3192,0.8484,0.3221
MovieLens-1M,AutoInt,16,16,0.3184,1672.9731,0.8538,0.3184,0.8483,0.3214
Avazu,DeepFM,16,1,0.3793,4308.3511,0.7812,0.3793,0.7815,0.3788
Avazu,DeepFM,16,2,0.3768,3915.1692,0.7852,0.3768,0.7856,0.3762
Avazu,DeepFM,16,4,0.3766,4345.9787,0.7855,0.3766,0.7859,0.376
Avazu,DeepFM,16,8,0.3763,4565.9598,0.786,0.3763,0.7865,0.3757
Avazu,DeepFM,16,16,0.3769,4245.3218,0.7851,0.3769,0.7855,0.3763
